LAND SQUARE FEET,GROSS SQUARE FEET,SALE PRICE,BOROUGH,NEIGHBORHOOD,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ZIP CODE,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE DATE
13390,5994,1495000,5,ANNADALE                 ,1,6475,85, ,A3,10312,2002,1, A3 ,7/28/2015
6180,4808,975000,5,ANNADALE                 ,1,6370,4, ,A3,10312,1990,1, A3 ,11/20/2015
13406,4180,1199000,5,ANNADALE                 ,1,5394,4, ,A2,10312,1982,1, A2 ,8/26/2015
8000,4011,865000,5,ANNADALE                 ,1,6222,54, ,A1,10312,2000,1, A1 ,1/12/2015
30000,4000,470000,5,ANNADALE                 ,1,6499,40, ,A1,10312,1985,1, A1 ,4/30/2015
6000,3800,752500,5,ANNADALE                 ,1,6360,5, ,A9,10312,1988,1, A9 ,3/20/2015
6000,3608,770000,5,ANNADALE                 ,1,6366,49, ,A1,10312,1975,1, A1 ,2/4/2015
20000,3550,1170000,5,ANNADALE                 ,1,6517,58, ,A3,10312,1989,1, A3 ,12/3/2015
7600,3490,1200000,5,ANNADALE                 ,1,6452,1, ,A3,10312,1997,1, A3 ,9/29/2015
20000,3140,980000,5,ANNADALE                 ,1,6517,59, ,A3,10312,1989,1, A3 ,12/3/2015
10000,3120,885000,5,ANNADALE                 ,1,6305,145, ,A1,10312,1985,1, A1 ,11/5/2015
10120,3000,955000,5,ANNADALE                 ,1,5397,51, ,A1,10312,1985,1, A1 ,12/18/2015
9900,3000,999999,5,ANNADALE                 ,1,6369,20, ,A1,10312,1986,1, A1 ,2/17/2015
1920,2685,572500,5,ANNADALE                 ,1,6367,9, ,A1,10312,1991,1, A1 ,2/11/2015
1722,2646,465000,5,ANNADALE                 ,1,6475,531, ,A5,10312,2011,1, A5 ,7/22/2015
3960,2642,609500,5,ANNADALE                 ,1,6365,6, ,A1,10312,1980,1, A1 ,12/10/2015
6200,2550,710000,5,ANNADALE                 ,1,6378,73, ,A1,10312,1975,1, A1 ,9/1/2015
3200,2500,870000,5,ANNADALE                 ,1,6353,40, ,A1,10312,1992,1, A1 ,5/26/2015
4000,2500,590000,5,ANNADALE                 ,1,6401,52, ,A1,10312,1997,1, A1 ,6/19/2015
8000,2389,768778,5,ANNADALE                 ,1,6259,14, ,A3,10312,2014,1, A3 ,5/27/2015
5400,2376,595000,5,ANNADALE                 ,1,6212,28, ,A1,10312,1970,1, A1 ,12/8/2015
4167,2300,590000,5,ANNADALE                 ,1,6253,4, ,A1,10312,1990,1, A1 ,5/26/2015
7000,2180,775000,5,ANNADALE                 ,1,6360,61, ,A1,10312,1985,1, A1 ,12/29/2015
5600,2178,587500,5,ANNADALE                 ,1,6279,156, ,A1,10312,1975,1, A1 ,9/22/2015
4440,2176,630000,5,ANNADALE                 ,1,6277,51, ,A1,10312,1986,1, A1 ,9/2/2015
4000,2138,470000,5,ANNADALE                 ,1,6279,164, ,A1,10312,1973,1, A1 ,5/1/2015
6000,2100,769000,5,ANNADALE                 ,1,6424,35, ,A1,10312,1975,1, A1 ,11/2/2015
6000,2100,625000,5,ANNADALE                 ,1,6424,38, ,A1,10312,1975,1, A1 ,8/12/2015
3600,2100,540000,5,ANNADALE                 ,1,6281,28, ,A1,10312,1979,1, A1 ,10/20/2015
4000,2092,710000,5,ANNADALE                 ,1,6236,33, ,A1,10312,2000,1, A1 ,4/16/2015
6000,2047,590000,5,ANNADALE                 ,1,6299,18, ,A2,10312,1976,1, A1 ,4/27/2015
4000,1968,535000,5,ANNADALE                 ,1,6297,66, ,A2,10312,1970,1, A2 ,4/2/2015
15000,1960,400000,5,ANNADALE                 ,1,6429,94, ,A1,10312,1920,1, A1 ,8/13/2015
1547,1939,485000,5,ANNADALE                 ,1,6475,523, ,A5,10312,2011,1, A5 ,10/2/2015
4240,1920,590000,5,ANNADALE                 ,1,6366,38, ,A1,10312,1970,1, A1 ,5/1/2015
4000,1890,570000,5,ANNADALE                 ,1,6298,13, ,A2,10312,1975,1, A2 ,2/26/2015
4200,1864,537000,5,ANNADALE                 ,1,6268,66, ,A2,10312,1965,1, A2 ,11/20/2015
1755,1854,379000,5,ANNADALE                 ,1,6205,79, ,A5,10312,1986,1, A5 ,5/29/2015
1845,1854,383000,5,ANNADALE                 ,1,6205,14, ,A5,10312,1986,1, A5 ,11/18/2015
10400,1848,605000,5,ANNADALE                 ,1,6245,113, ,A2,10312,1960,1, A2 ,4/23/2015
14795,1848,750000,5,ANNADALE                 ,1,6249,17, ,A1,10312,1925,1, A1 ,1/13/2015
6000,1820,595000,5,ANNADALE                 ,1,6368,21, ,A1,10312,1975,1, A1 ,2/4/2015
3840,1800,570000,5,ANNADALE                 ,1,6254,60, ,A1,10312,1991,1, A1 ,10/7/2015
4000,1800,675000,5,ANNADALE                 ,1,6354,31, ,A1,10312,2000,1, A1 ,2/4/2015
4746,1794,425000,5,ANNADALE                 ,1,6249,294, ,A2,10312,1965,1, A2 ,10/23/2015
4746,1794,445000,5,ANNADALE                 ,1,6249,294, ,A2,10312,1965,1, A2 ,2/19/2015
9600,1728,625000,5,ANNADALE                 ,1,6239,83, ,A1,10312,1975,1, A1 ,12/22/2015
6175,1580,640479,5,ANNADALE                 ,1,6249,22, ,A3,10312,2014,1, A3 ,10/8/2015
3800,1560,499000,5,ANNADALE                 ,1,6321,18, ,A1,10312,1925,1, A1 ,8/20/2015
2320,1500,465000,5,ANNADALE                 ,1,6212,33, ,A5,10312,2000,1, A5 ,5/14/2015
5000,1483,365000,5,ANNADALE                 ,1,5425,45, ,A1,10312,1910,1, A1 ,12/15/2015
4080,1480,430000,5,ANNADALE                 ,1,6402,9, ,A2,10312,1950,1, A2 ,11/25/2015
5200,1465,455000,5,ANNADALE                 ,1,6226,15, ,A1,10312,1930,1, A1 ,7/1/2015
3200,1400,447500,5,ANNADALE                 ,1,6398,22, ,A1,10312,1965,1, A1 ,2/3/2015
2280,1390,485000,5,ANNADALE                 ,1,6267,74, ,A5,10312,2002,1, A5 ,10/21/2015
3605,1344,480000,5,ANNADALE                 ,1,6220,72, ,A5,10312,2003,1, A5 ,11/4/2015
1585,1339,405000,5,ANNADALE                 ,1,6220,3, ,A5,10312,2004,1, A5 ,2/24/2015
3400,1248,410000,5,ANNADALE                 ,1,6232,76, ,A1,10312,1970,1, A1 ,12/31/2015
2500,1200,480800,5,ANNADALE                 ,1,5406,36, ,A1,10312,1999,1, A1 ,9/18/2015
1471,1172,325000,5,ANNADALE                 ,1,6205,145, ,A5,10312,1986,1, A5 ,8/20/2015
12000,1128,250000,5,ANNADALE                 ,1,6235,53, ,A2,10312,1945,1, A2 ,7/24/2015
1471,1068,315000,5,ANNADALE                 ,1,6205,55, ,A5,10312,1986,1, A5 ,12/21/2015
3800,1008,540000,5,ANNADALE                 ,1,6268,7, ,A2,10312,1970,1, A2 ,10/16/2015
3600,984,510000,5,ANNADALE                 ,1,6232,29, ,A2,10312,1960,1, A2 ,5/21/2015
3600,984,367500,5,ANNADALE                 ,1,6232,72, ,A2,10312,1960,1, A2 ,8/18/2015
8240,724,445000,5,ANNADALE                 ,1,6400,47, ,A2,10312,1940,1, A2 ,7/1/2015
2500,448,157500,5,ANNADALE                 ,1,5425,34, ,A6,10312,1910,1, A6 ,5/29/2015
7700,368,425000,5,ANNADALE                 ,1,6452,7, ,A6,10312,1920,1, A6 ,9/11/2015
3863,2202,567000,5,ARDEN HEIGHTS            ,1,5735,317, ,A5,10312,2011,1, A5 ,12/16/2015
4210,2152,465000,5,ARDEN HEIGHTS            ,1,6023,388, ,A1,10312,1979,1, A1 ,3/6/2015
5510,2119,528000,5,ARDEN HEIGHTS            ,1,6016,65, ,A2,10312,1965,1, A2 ,7/2/2015
2700,2100,400000,5,ARDEN HEIGHTS            ,1,6022,312, ,A5,10312,1975,1, A5 ,4/23/2015
3500,2086,600767,5,ARDEN HEIGHTS            ,1,5724,118, ,A5,10312,2014,1, A5 ,10/16/2015
2500,2065,505986,5,ARDEN HEIGHTS            ,1,5724,140, ,A5,10312,2014,1, A5 ,1/5/2015
2500,2065,519307,5,ARDEN HEIGHTS            ,1,5724,120, ,A5,10312,2014,1, A5 ,3/31/2015
2500,2065,528471,5,ARDEN HEIGHTS            ,1,5724,103, ,A5,10312,2014,1, A5 ,2/25/2015
2500,2065,529490,5,ARDEN HEIGHTS            ,1,5724,105, ,A5,10312,2014,1, A5 ,8/13/2015
2500,2065,528471,5,ARDEN HEIGHTS            ,1,5724,109, ,A5,10312,2014,1, A5 ,3/13/2015
3500,2063,506898,5,ARDEN HEIGHTS            ,1,5724,142, ,A5,10312,2014,1, A5 ,6/29/2015
2032,2056,455000,5,ARDEN HEIGHTS            ,1,6048,82, ,A5,10312,1989,1, A5 ,12/8/2015
2685,2032,360000,5,ARDEN HEIGHTS            ,1,6022,275, ,A5,10312,1980,1, A5 ,5/15/2015
3716,1991,555000,5,ARDEN HEIGHTS            ,1,5735,351, ,A5,10312,2011,1, A5 ,7/28/2015
2530,1991,497000,5,ARDEN HEIGHTS            ,1,5735,354, ,A5,10312,2011,1, A5 ,7/3/2015
3496,1991,515000,5,ARDEN HEIGHTS            ,1,5735,415, ,A5,10312,2011,1, A5 ,7/9/2015
1973,1991,495000,5,ARDEN HEIGHTS            ,1,5735,418, ,A5,10312,2011,1, A5 ,5/7/2015
1890,1948,400000,5,ARDEN HEIGHTS            ,1,6024,167, ,A5,10312,1980,1, A5 ,4/2/2015
1890,1948,375000,5,ARDEN HEIGHTS            ,1,6024,198, ,A5,10312,1980,1, A5 ,7/29/2015
2700,1914,460000,5,ARDEN HEIGHTS            ,1,6023,400, ,A2,10312,1980,1, A2 ,8/10/2015
1722,1868,325000,5,ARDEN HEIGHTS            ,1,6018,8, ,A5,10312,1973,1, A5 ,10/30/2015
1800,1740,305000,5,ARDEN HEIGHTS            ,1,6020,8, ,A5,10312,1970,1, A5 ,2/4/2015
2520,1736,340000,5,ARDEN HEIGHTS            ,1,6020,195, ,A5,10312,1970,1, A5 ,1/22/2015
2607,1736,400000,5,ARDEN HEIGHTS            ,1,6019,128, ,A5,10312,1970,1, A5 ,8/19/2015
3410,1736,385000,5,ARDEN HEIGHTS            ,1,6019,133, ,A5,10312,1970,1, A5 ,11/17/2015
2930,1732,414750,5,ARDEN HEIGHTS            ,1,6043,32, ,A5,10312,1989,1, A5 ,11/6/2015
2700,1700,465000,5,ARDEN HEIGHTS            ,1,5720,93, ,A5,10312,1998,1, A5 ,10/16/2015
1106,1690,388000,5,ARDEN HEIGHTS            ,1,5772,107, ,A5,10312,1990,1, A5 ,6/5/2015
1410,1690,340000,5,ARDEN HEIGHTS            ,1,5773,166, ,A5,10312,1993,1, A5 ,11/10/2015
840,1690,315000,5,ARDEN HEIGHTS            ,1,5772,93, ,A5,10312,1989,1, A5 ,10/30/2015
840,1690,265000,5,ARDEN HEIGHTS            ,1,5772,43, ,A5,10312,1989,1, A5 ,11/30/2015
1044,1690,345000,5,ARDEN HEIGHTS            ,1,5772,122, ,A5,10312,1990,1, A5 ,3/11/2015
2690,1622,264500,5,ARDEN HEIGHTS            ,1,6048,9, ,A5,10312,1999,1, A5 ,7/8/2015
2700,1614,429500,5,ARDEN HEIGHTS            ,1,6023,135, ,A2,10312,1980,1, A2 ,6/8/2015
3483,1600,455000,5,ARDEN HEIGHTS            ,1,5726,52, ,A5,10312,2005,1, A5 ,1/13/2015
3300,1562,305000,5,ARDEN HEIGHTS            ,1,6018,150, ,A5,10312,1975,1, A5 ,8/19/2015
3420,1562,370000,5,ARDEN HEIGHTS            ,1,6018,65, ,A5,10312,1973,1, A5 ,8/28/2015
2160,1560,432000,5,ARDEN HEIGHTS            ,1,6021,256, ,A1,10312,1975,1, A1 ,9/25/2015
560,1553,286080,5,ARDEN HEIGHTS            ,1,5744,145, ,A5,10312,1996,1, A5 ,10/19/2015
560,1553,287500,5,ARDEN HEIGHTS            ,1,5742,56, ,A5,10312,1999,1, A5 ,5/15/2015
560,1553,312000,5,ARDEN HEIGHTS            ,1,5741,15, ,A5,10312,1996,1, A5 ,8/18/2015
560,1553,253500,5,ARDEN HEIGHTS            ,1,5743,16, ,A5,10312,1996,1, A5 ,2/9/2015
1950,1547,323000,5,ARDEN HEIGHTS            ,1,6043,5, ,A5,10312,1988,1, A5 ,12/4/2015
1135,1540,350000,5,ARDEN HEIGHTS            ,1,5725,30, ,A5,10312,1995,1, A5 ,12/10/2015
1800,1536,334400,5,ARDEN HEIGHTS            ,1,6020,74, ,A5,10312,1970,1, A5 ,4/9/2015
1800,1536,362500,5,ARDEN HEIGHTS            ,1,6020,84, ,A5,10312,1970,1, A5 ,9/2/2015
1800,1536,335000,5,ARDEN HEIGHTS            ,1,6020,101, ,A5,10312,1975,1, A5 ,11/13/2015
1800,1536,335000,5,ARDEN HEIGHTS            ,1,6020,117, ,A5,10312,1975,1, A5 ,5/19/2015
560,1510,310000,5,ARDEN HEIGHTS            ,1,5740,127, ,A5,10312,2001,1, A5 ,3/6/2015
2500,1510,526435,5,ARDEN HEIGHTS            ,1,5724,102, ,A5,10312,2014,1, A5 ,10/20/2015
560,1510,220000,5,ARDEN HEIGHTS            ,1,5741,75, ,A5,10312,1996,1, A5 ,11/6/2015
560,1510,288000,5,ARDEN HEIGHTS            ,1,5742,105, ,A5,10312,2000,1, A5 ,2/9/2015
560,1510,349999,5,ARDEN HEIGHTS            ,1,5741,82, ,A5,10312,1996,1, A5 ,12/3/2015
560,1510,312000,5,ARDEN HEIGHTS            ,1,5742,14, ,A5,10312,2000,1, A5 ,6/10/2015
560,1510,275000,5,ARDEN HEIGHTS            ,1,5741,99, ,A5,10312,1996,1, A5 ,7/31/2015
2500,1510,528471,5,ARDEN HEIGHTS            ,1,5724,104, ,A5,10312,2014,1, A5 ,2/25/2015
560,1510,287000,5,ARDEN HEIGHTS            ,1,5744,61, ,A5,10312,1996,1, A5 ,8/26/2015
560,1510,260000,5,ARDEN HEIGHTS            ,1,5741,121, ,A5,10312,1996,1, A5 ,2/3/2015
2500,1510,528471,5,ARDEN HEIGHTS            ,1,5724,108, ,A5,10312,2014,1, A5 ,5/15/2015
560,1510,294000,5,ARDEN HEIGHTS            ,1,5741,122, ,A5,10312,1996,1, A5 ,5/29/2015
560,1510,300000,5,ARDEN HEIGHTS            ,1,5740,55, ,A5,10312,1996,1, A5 ,6/15/2015
560,1510,320000,5,ARDEN HEIGHTS            ,1,5742,109, ,A5,10312,1999,1, A5 ,11/16/2015
560,1510,265000,5,ARDEN HEIGHTS            ,1,5741,2, ,A5,10312,1996,1, A5 ,5/6/2015
560,1510,270000,5,ARDEN HEIGHTS            ,1,5741,146, ,A5,10312,1996,1, A5 ,7/30/2015
560,1510,312000,5,ARDEN HEIGHTS            ,1,5741,5, ,A5,10312,1996,1, A5 ,12/11/2015
560,1510,305000,5,ARDEN HEIGHTS            ,1,5740,10, ,A5,10312,1996,1, A5 ,3/4/2015
560,1510,305000,5,ARDEN HEIGHTS            ,1,5741,21, ,A5,10312,1996,1, A5 ,10/5/2015
2033,1496,265000,5,ARDEN HEIGHTS            ,1,6018,53, ,A5,10312,1973,1, A5 ,9/8/2015
1870,1496,365000,5,ARDEN HEIGHTS            ,1,6018,159, ,A5,10312,1975,1, A5 ,3/5/2015
8000,1488,665000,5,ARDEN HEIGHTS            ,1,6014,56, ,A2,10312,1950,1, A2 ,6/12/2015
1060,1480,327000,5,ARDEN HEIGHTS            ,1,6055,98, ,A5,10312,1988,1, A5 ,12/3/2015
1720,1480,386300,5,ARDEN HEIGHTS            ,1,6020,12, ,A5,10312,1970,1, A5 ,1/23/2015
1709,1480,410000,5,ARDEN HEIGHTS            ,1,6020,215, ,A5,10312,1970,1, A5 ,5/5/2015
1760,1480,350000,5,ARDEN HEIGHTS            ,1,6018,7, ,A5,10312,1973,1, A5 ,10/2/2015
1283,1408,342500,5,ARDEN HEIGHTS            ,1,6021,271, ,A5,10312,1987,1, A5 ,7/15/2015
2488,1400,495000,5,ARDEN HEIGHTS            ,1,5726,58, ,A5,10312,2004,1, A5 ,8/13/2015
1267,1400,324000,5,ARDEN HEIGHTS            ,1,6021,30, ,A5,10312,1987,1, A5 ,3/19/2015
1060,1400,300000,5,ARDEN HEIGHTS            ,1,6055,33, ,A9,10312,1989,1, A9 ,12/8/2015
1650,1378,223080,5,ARDEN HEIGHTS            ,1,6022,148, ,A5,10312,1980,1, A5 ,8/5/2015
1620,1378,400000,5,ARDEN HEIGHTS            ,1,6024,48, ,A5,10312,1980,1, A5 ,12/3/2015
1200,1378,320000,5,ARDEN HEIGHTS            ,1,6022,396, ,A5,10312,1980,1, A5 ,11/5/2015
1620,1378,140299,5,ARDEN HEIGHTS            ,1,6024,32, ,A5,10312,1975,1, A5 ,11/24/2015
3163,1376,360000,5,ARDEN HEIGHTS            ,1,6020,161, ,A5,10312,1975,1, A5 ,5/1/2015
3431,1376,380000,5,ARDEN HEIGHTS            ,1,6020,153, ,A5,10312,1975,1, A5 ,6/11/2015
500,1354,270000,5,ARDEN HEIGHTS            ,1,5744,142, ,A5,10312,1996,1, A5 ,1/9/2015
500,1354,275000,5,ARDEN HEIGHTS            ,1,5740,138, ,A5,10312,2001,1, A5 ,7/15/2015
500,1354,232206,5,ARDEN HEIGHTS            ,1,5743,199, ,A5,10312,1996,1, A5 ,3/31/2015
500,1354,280000,5,ARDEN HEIGHTS            ,1,5740,187, ,A5,10312,2004,1, A5 ,5/8/2015
500,1354,277000,5,ARDEN HEIGHTS            ,1,5740,209, ,A5,10312,2004,1, A5 ,6/5/2015
500,1354,141032,5,ARDEN HEIGHTS            ,1,5741,53, ,A5,10312,1996,1, A5 ,2/26/2015
500,1354,235000,5,ARDEN HEIGHTS            ,1,5740,90, ,A5,10312,2000,1, A5 ,11/5/2015
500,1354,250000,5,ARDEN HEIGHTS            ,1,5742,76, ,A5,10312,1999,1, A5 ,8/12/2015
500,1354,255000,5,ARDEN HEIGHTS            ,1,5743,94, ,A5,10312,1996,1, A5 ,10/9/2015
500,1354,300000,5,ARDEN HEIGHTS            ,1,5743,163, ,A5,10312,1999,1, A5 ,8/9/2015
500,1354,272000,5,ARDEN HEIGHTS            ,1,5741,79, ,A5,10312,1996,1, A5 ,12/21/2015
500,1354,275000,5,ARDEN HEIGHTS            ,1,5743,263, ,A5,10312,2002,1, A5 ,7/7/2015
500,1354,280000,5,ARDEN HEIGHTS            ,1,5742,100, ,A5,10312,2000,1, A5 ,10/20/2015
500,1354,260000,5,ARDEN HEIGHTS            ,1,5740,211, ,A5,10312,2004,1, A5 ,1/29/2015
500,1354,278000,5,ARDEN HEIGHTS            ,1,5744,85, ,A5,10312,1996,1, A5 ,6/25/2015
500,1354,270000,5,ARDEN HEIGHTS            ,1,5740,80, ,A5,10312,2000,1, A5 ,1/6/2015
500,1354,292000,5,ARDEN HEIGHTS            ,1,5744,99, ,A5,10312,1996,1, A5 ,1/20/2015
500,1354,248430,5,ARDEN HEIGHTS            ,1,5740,68, ,A5,10312,2000,1, A5 ,10/15/2015
500,1354,260000,5,ARDEN HEIGHTS            ,1,5740,68, ,A5,10312,2000,1, A5 ,5/21/2015
500,1354,260000,5,ARDEN HEIGHTS            ,1,5740,67, ,A5,10312,2000,1, A5 ,4/8/2015
500,1354,265000,5,ARDEN HEIGHTS            ,1,5741,117, ,A5,10312,1996,1, A5 ,1/26/2015
500,1354,315000,5,ARDEN HEIGHTS            ,1,5743,250, ,A5,10312,2002,1, A5 ,12/31/2015
500,1354,255000,5,ARDEN HEIGHTS            ,1,5744,20, ,A5,10312,1996,1, A5 ,11/6/2015
500,1354,275000,5,ARDEN HEIGHTS            ,1,5740,188, ,A5,10312,2004,1, A5 ,3/25/2015
500,1354,252000,5,ARDEN HEIGHTS            ,1,5743,247, ,A5,10312,2002,1, A5 ,6/19/2015
500,1354,242500,5,ARDEN HEIGHTS            ,1,5743,69, ,A5,10312,1996,1, A5 ,8/24/2015
500,1354,278300,5,ARDEN HEIGHTS            ,1,5741,11, ,A5,10312,1996,1, A5 ,12/7/2015
500,1354,255000,5,ARDEN HEIGHTS            ,1,5743,55, ,A5,10312,1996,1, A5 ,5/8/2015
508,1354,207870,5,ARDEN HEIGHTS            ,1,5741,236, ,A5,10312,1996,1, A5 ,6/29/2015
508,1354,230000,5,ARDEN HEIGHTS            ,1,5741,236, ,A5,10312,1996,1, A5 ,1/22/2015
500,1354,260000,5,ARDEN HEIGHTS            ,1,5741,253, ,A5,10312,1996,1, A5 ,11/5/2015
500,1354,273000,5,ARDEN HEIGHTS            ,1,5743,215, ,A5,10312,1996,1, A5 ,7/29/2015
500,1354,255000,5,ARDEN HEIGHTS            ,1,5741,258, ,A5,10312,1996,1, A5 ,8/31/2015
500,1354,260000,5,ARDEN HEIGHTS            ,1,5741,18, ,A5,10312,1996,1, A5 ,7/22/2015
500,1354,230000,5,ARDEN HEIGHTS            ,1,5740,148, ,A5,10312,2001,1, A5 ,7/2/2015
500,1354,258000,5,ARDEN HEIGHTS            ,1,5743,205, ,A5,10312,1996,1, A5 ,10/15/2015
2426,1350,449000,5,ARDEN HEIGHTS            ,1,5727,15, ,A5,10312,2002,1, A5 ,9/16/2015
508,1324,255000,5,ARDEN HEIGHTS            ,1,5742,133, ,A5,10312,1999,1, A5 ,5/6/2015
1604,1320,329000,5,ARDEN HEIGHTS            ,1,6026,97, ,A5,10312,1998,1, A5 ,1/6/2015
1680,1280,317000,5,ARDEN HEIGHTS            ,1,6021,51, ,A5,10312,1980,1, A5 ,3/15/2015
2000,1275,363000,5,ARDEN HEIGHTS            ,1,5726,45, ,A9,10312,1986,1, A9 ,4/8/2015
2200,1275,375000,5,ARDEN HEIGHTS            ,1,5726,150, ,A9,10312,1986,1, A9 ,10/26/2015
1020,1262,341000,5,ARDEN HEIGHTS            ,1,6050,147, ,A5,10312,1988,1, A5 ,11/12/2015
1020,1262,345000,5,ARDEN HEIGHTS            ,1,6050,137, ,A5,10312,1988,1, A5 ,5/22/2015
1920,1262,336000,5,ARDEN HEIGHTS            ,1,6050,124, ,A5,10312,1988,1, A5 ,5/11/2015
1280,1240,318000,5,ARDEN HEIGHTS            ,1,6021,136, ,A5,10312,1987,1, A5 ,9/18/2015
1267,1240,340000,5,ARDEN HEIGHTS            ,1,6021,297, ,A5,10312,1987,1, A5 ,10/7/2015
1267,1240,325000,5,ARDEN HEIGHTS            ,1,6021,299, ,A5,10312,1987,1, A5 ,6/25/2015
880,1232,225000,5,ARDEN HEIGHTS            ,1,6029,22, ,A5,10312,1987,1, A5 ,5/27/2015
1968,1172,310000,5,ARDEN HEIGHTS            ,1,6031,144, ,A9,10312,1987,1, A9 ,5/5/2015
2250,1156,350000,5,ARDEN HEIGHTS            ,1,5803,34, ,A5,10312,2000,1, A5 ,4/22/2015
2250,1156,355000,5,ARDEN HEIGHTS            ,1,5803,32, ,A5,10312,2000,1, A5 ,8/13/2015
1680,1152,312000,5,ARDEN HEIGHTS            ,1,6030,74, ,A5,10312,1986,1, A5 ,8/27/2015
1440,1152,295000,5,ARDEN HEIGHTS            ,1,6031,10, ,A5,10312,1987,1, A5 ,7/8/2015
960,1152,276500,5,ARDEN HEIGHTS            ,1,6030,142, ,A5,10312,1986,1, A5 ,7/27/2015
960,1152,316000,5,ARDEN HEIGHTS            ,1,6031,124, ,A9,10312,1987,1, A9 ,9/11/2015
2220,1148,330000,5,ARDEN HEIGHTS            ,1,6028,67, ,A5,10312,1990,1, A5 ,3/23/2015
1290,1148,287500,5,ARDEN HEIGHTS            ,1,6028,80, ,A5,10312,1990,1, A5 ,4/10/2015
2698,1148,340000,5,ARDEN HEIGHTS            ,1,6028,82, ,A5,10312,1990,1, A5 ,4/9/2015
1400,1120,375000,5,ARDEN HEIGHTS            ,1,5725,16, ,A5,10312,1997,1, A5 ,12/21/2015
1488,1112,330000,5,ARDEN HEIGHTS            ,1,6019,139, ,A5,10312,1970,1, A5 ,3/30/2015
1360,1112,350000,5,ARDEN HEIGHTS            ,1,6018,245, ,A5,10312,1975,1, A5 ,12/28/2015
1280,1112,355000,5,ARDEN HEIGHTS            ,1,6020,13, ,A5,10312,1970,1, A5 ,5/28/2015
1328,1088,280000,5,ARDEN HEIGHTS            ,1,6018,194, ,A5,10312,1975,1, A5 ,6/10/2015
1280,1088,355000,5,ARDEN HEIGHTS            ,1,6020,82, ,A5,10312,1970,1, A5 ,10/20/2015
1440,1088,241000,5,ARDEN HEIGHTS            ,1,6018,62, ,A5,10312,1973,1, A5 ,5/22/2015
1440,1088,370000,5,ARDEN HEIGHTS            ,1,6018,63, ,A5,10312,1973,1, A5 ,7/27/2015
2095,1088,340000,5,ARDEN HEIGHTS            ,1,6018,219, ,A5,10312,1975,1, A5 ,2/26/2015
1328,1088,255000,5,ARDEN HEIGHTS            ,1,6018,273, ,A5,10312,1975,1, A5 ,4/22/2015
1564,1088,275000,5,ARDEN HEIGHTS            ,1,6018,90, ,A5,10312,1980,1, A5 ,1/22/2015
1300,1060,370000,5,ARDEN HEIGHTS            ,1,5727,56, ,A5,10312,1998,1, A5 ,8/26/2015
1300,1060,373000,5,ARDEN HEIGHTS            ,1,5727,63, ,A5,10312,1998,1, A5 ,1/21/2015
1300,1060,372000,5,ARDEN HEIGHTS            ,1,5727,84, ,A5,10312,1998,1, A5 ,5/1/2015
1800,1008,327500,5,ARDEN HEIGHTS            ,1,6055,45, ,A9,10312,1989,1, A9 ,12/4/2015
1060,1008,309500,5,ARDEN HEIGHTS            ,1,6055,59, ,A9,10312,1988,1, A9 ,1/15/2015
1060,1008,344000,5,ARDEN HEIGHTS            ,1,6055,62, ,A5,10312,1988,1, A5 ,10/23/2015
975,1008,309000,5,ARDEN HEIGHTS            ,1,6043,24, ,A5,10312,1988,1, A5 ,4/16/2015
1044,1008,240000,5,ARDEN HEIGHTS            ,1,6029,81, ,A5,10312,1987,1, A5 ,1/15/2015
720,1008,290000,5,ARDEN HEIGHTS            ,1,6031,78, ,A5,10312,1987,1, A5 ,5/28/2015
720,1008,292000,5,ARDEN HEIGHTS            ,1,6031,58, ,A9,10312,1987,1, A9 ,6/8/2015
1260,1008,315000,5,ARDEN HEIGHTS            ,1,6031,146, ,A9,10312,1987,1, A9 ,11/9/2015
1190,996,315000,5,ARDEN HEIGHTS            ,1,6044,27, ,A5,10312,1990,1, A5 ,1/9/2015
1622,996,357000,5,ARDEN HEIGHTS            ,1,6044,2, ,A5,10312,1990,1, A5 ,9/14/2015
640,980,260000,5,ARDEN HEIGHTS            ,1,6031,62, ,A9,10312,1987,1, A9 ,7/20/2015
640,980,240000,5,ARDEN HEIGHTS            ,1,6028,18, ,A5,10312,1990,1, A5 ,12/16/2015
640,980,235000,5,ARDEN HEIGHTS            ,1,6028,23, ,A5,10312,1991,1, A5 ,3/19/2015
640,980,205000,5,ARDEN HEIGHTS            ,1,6031,110, ,A9,10312,1987,1, A9 ,10/1/2015
1425,980,320000,5,ARDEN HEIGHTS            ,1,6028,6, ,A5,10312,1992,1, A5 ,11/13/2015
640,980,235000,5,ARDEN HEIGHTS            ,1,6031,98, ,A9,10312,1987,1, A9 ,7/23/2015
1316,980,335000,5,ARDEN HEIGHTS            ,1,6028,33, ,A5,10312,1992,1, A5 ,2/13/2015
353,929,180000,5,ARDEN HEIGHTS            ,1,5743,111, ,A5,10312,1996,1, A5 ,8/19/2015
353,929,194000,5,ARDEN HEIGHTS            ,1,5744,71, ,A5,10312,1996,1, A5 ,3/31/2015
353,929,195000,5,ARDEN HEIGHTS            ,1,5740,196, ,A5,10312,2004,1, A5 ,3/30/2015
